audio_id	path	book_id	曲名	全長	分布	季節	環境
1_01	db/日本野鳥大鑑1/01 アビ.wav	1	01 アビ	63㎝	全国	冬鳥	外洋、内湾
1_02	db/日本野鳥大鑑1/02 カイツブリ.wav	1	02 カイツブリ	26㎝	全国。北日本は夏のみ	留鳥または漂鳥	河川、湖沼
1_03	db/日本野鳥大鑑1/03 アカエリカイツブリ.wav	1	03 アカエリカイツブリ	47㎝	全国。繁殖は北海道、越冬は本州以南	北海道で夏鳥。全国で冬鳥	繁殖は湖沼、越冬は内湾
1_04	db/日本野鳥大鑑1/04 カンムリカイツブリ.wav	1	04 カンムリカイツブリ	56㎝	繁殖は青森県。越冬は本州以南	冬鳥。青森県では夏鳥	湖沼、河川、内湾
1_05	db/日本野鳥大鑑1/05 アホウドリ.wav	1	05 アホウドリ	91.5㎝、翼開長213㎝	東京都鳥島、沖縄県尖閣諸島で繁殖。　そのほかは北部太平洋	10月から６月に繁殖地	繁殖期は離島。繁殖期以外は外洋を回遊
1_06	db/日本野鳥大鑑1/06 クロアシアホウドリ.wav	1	06 クロアシアホウドリ	78.5㎝、翼開長200㎝	小笠原諸島周辺などで繁殖。初夏に太平洋側の海岸	10月から５月に繁殖地周辺。そのほかは旅鳥	繁殖期は離島。繁殖期以外は外洋
1_07	db/日本野鳥大鑑1/07 オオミズナギドリ.wav	1	07 オオミズナギドリ	49㎝、翼開長122㎝	ほぼ全国	留鳥。繁殖地では２月から１１月	繁殖期は離島。繁殖期以外は外洋、内湾	CD08 オナガミズナギドリがCDから抜けている
1_08	db/日本野鳥大鑑1/08 ヒメクロウミツバメ.wav	1	08 ヒメクロウミツバメ	20㎝、翼開長45㎝	本州の東北地方、日本海の島	夏鳥	繁殖期は離島、その周辺の外洋
1_09	db/日本野鳥大鑑1/09 コシジロウミツバメ.wav	1	09 コシジロウミツバメ	20.5㎝、翼開長48㎝	北海道大黒島が大繁殖地。岩手県日出島、三貫島で少数が繁殖。越冬は太平洋沿岸	繁殖地では5月から10月。そのほかでは越冬	繁殖期は離島。繁殖期以外は外洋
1_10	db/日本野鳥大鑑1/10 コシジロウミツバメ.wav	1	10 コシジロウミツバメ					09と同様
1_11	db/日本野鳥大鑑1/11 クロコシジロウミツバメ.wav	1	11 クロコシジロウミツバメ	19㎝、翼開長46㎝	東北地方、特に岩手県沖の太平洋	夏鳥	繁殖期は離島。繁殖期以外は外洋
1_12	db/日本野鳥大鑑1/12 オーストンウミツバメ.wav	1	12 オーストンウミツバメ	25.5㎝、翼開長56㎝	伊豆諸島、硫黄列島で繁殖し、その周辺の海洋	留鳥。秋から冬が繁殖期	繁殖期は離島。繁殖期以外は外洋
1_13	db/日本野鳥大鑑1/13 カツオドリ.wav	1	13 カツオドリ	73㎝、翼開長145㎝	東京都伊豆諸島、小笠原諸島、硫黄列島、鹿児島県の草垣島、沖縄県仲ノ神島、尖閣諸島で繁殖	繁殖期は地域で異なり、それぞれの繁殖期に見られる。	繁殖期は離島。繁殖期以外は外洋
1_14	db/日本野鳥大鑑1/14 カワウ.wav	1	14 カワウ	82㎝	本州以南	東北地方では夏鳥、九州では冬鳥、そのほかでは留鳥	湖沼、河川、内湾。繁殖は林
1_15	db/日本野鳥大鑑1/15 ウミウ.wav	1	15 ウミウ	84㎝	全国	留鳥または漂鳥	海岸、内湾。繁殖は海辺の断崖
1_16	db/日本野鳥大鑑1/16 チシマウガラス.wav	1	16 チシマウガラス	76㎝	繁殖は北海道東部。越冬は北海道、本州北部	留鳥または冬鳥	岩礁海岸、内湾
1_17	db/日本野鳥大鑑1/17 サンカノゴイ.wav	1	17 サンカノゴイ	70㎝	北海道、滋賀県で繁殖が確認され、茨城県、千葉県で繁殖期に記録がある。本州以南で越冬	北海道で夏鳥。本州では一部繁殖しているがおもに冬鳥	湖沼周辺のアシ原
1_18	db/日本野鳥大鑑1/18 ヨシゴイ.wav	1	18 ヨシゴイ	36.5㎝	全国	夏鳥	湖沼周辺のアシ原や休耕田
1_19	db/日本野鳥大鑑1/19 オオヨシゴイ.wav	1	19 オオヨシゴイ	39㎝	本州中部地方以北で局地的	夏鳥	アシ原
1_20	db/日本野鳥大鑑1/20 リュウキュウヨシゴイ.wav	1	20 リュウキュウヨシゴイ	40㎝	奄美大島以南と硫黄列島、南鳥島	留鳥	アシ原、水田などの湿地
1_21	db/日本野鳥大鑑1/21 ミゾゴイ.wav	1	21 ミゾゴイ	49㎝	本州以南、九州まで	夏鳥	丘陵地から山林の森林
1_22	db/日本野鳥大鑑1/22 ズグロミゾゴイ.wav	1	22 ズグロミゾゴイ	47㎝	沖縄県石垣島、西表島、黒島	留鳥	森林
1_23	db/日本野鳥大鑑1/23 ゴイサギ.wav	1	23 ゴイサギ	57.5㎝	本州以南。北日本は夏	留鳥または漂鳥、夏鳥	河川、湖沼
1_24	db/日本野鳥大鑑1/24 ササゴイ.wav	1	24 ササゴイ	52㎝	本州以南	夏鳥。少数が越冬	河川、池沼
1_25	db/日本野鳥大鑑1/25 アマサギ.wav	1	25 アマサギ	50.5㎝	関東地方以南の太平洋側	夏鳥。越冬するものもある	平地の水田、草地。ほかのシラサギ類に比べ乾燥した環境を好む
1_26	db/日本野鳥大鑑1/26 ダイサギ.wav	1	26 ダイサギ	90㎝	本州以南	留鳥	湖沼、干潟、水田
1_27	db/日本野鳥大鑑1/27 チュウサギ.wav	1	27 チュウサギ	68.5㎝	本州以南	夏鳥。少数が越冬	湖沼、干潟、水田、河川
1_28	db/日本野鳥大鑑1/28 コサギ.wav	1	28 コサギ	61㎝	東北地方南部以南	留鳥	湖沼、干潟、水田
