	audio_id	audio_file_path	romaji_name	romaji_to_kana	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
0	1103	data01/akaeri_110702_sarobetsu_namba.0001.wav	akaeri		Q206840	Red-necked Phalarope	アカエリヒレアシシギ	Q253776/Q206840	ヒレアシシギ属/アカエリヒレアシシギ	Phalaropus/Red-necked Phalarope	genus/species
1	3238	data01/akaeri_110702_sarobetsu_namba.0002.wav	akaeri		Q206840	Red-necked Phalarope	アカエリヒレアシシギ	Q253776/Q206840	ヒレアシシギ属/アカエリヒレアシシギ	Phalaropus/Red-necked Phalarope	genus/species
2	3302	data01/akaeri_110702_sarobetsu_namba.0000.wav	akaeri		Q206840	Red-necked Phalarope	アカエリヒレアシシギ	Q253776/Q206840	ヒレアシシギ属/アカエリヒレアシシギ	Phalaropus/Red-necked Phalarope	genus/species
3	38	data01/akashobin_150611_kosado_mju.0002.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
4	108	data01/akashobin_150611_kosado_mju.0000.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
5	309	data01/akashobin_150611_kosado_mju.0001.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
6	796	data01/akashobin_150613_okutadami_abe.0007.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
7	976	data01/akashobin_100512_shiiba_mju.0000.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
8	1685	data01/akashobin_150613_okutadami_abe.0006.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
9	2396	data01/akashobin_150613_okutadami_abe.0010.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
10	2994	data01/akashobin_150613_okutadami_abe.0001.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
11	3045	data01/akashobin_150613_okutadami_abe.0008.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
12	3112	data01/akashobin_150613_okutadami_abe.0002.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
13	3269	data01/akashobin_150613_okutadami_abe.0000.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
14	3702	data01/akashobin_150613_okutadami_abe.0004.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
15	4015	data01/akashobin_150613_okutadami_abe.0003.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
16	4513	data01/akashobin_150613_okutadami_abe.0005.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
17	4534	data01/akashobin_150613_okutadami_abe.0009.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
18	4708	data01/akashobin_150611_kosado_mju.0003.wav	akashobin		Q1110083	Ruddy Kingfisher	アカショウビン	Q371767/Q1110083	Halcyon/アカショウビン	Halcyon/Ruddy Kingfisher	/species
19	557	data01/amerikakoaji_140718_hikawahama_nuka.0001.wav	amerikakoaji		Q28168	Least Tern	アメリカコアジサシ	Q76408/Q28168	Sternula/アメリカコアジサシ	Sternula/Least Tern	/species
20	1985	data01/amerikakoaji_140718_hikawahama_nuka.0002.wav	amerikakoaji		Q28168	Least Tern	アメリカコアジサシ	Q76408/Q28168	Sternula/アメリカコアジサシ	Sternula/Least Tern	/species
21	2191	data01/amerikakoaji_140718_hikawahama_nuka.0003.wav	amerikakoaji		Q28168	Least Tern	アメリカコアジサシ	Q76408/Q28168	Sternula/アメリカコアジサシ	Sternula/Least Tern	/species
22	3225	data01/amerikakoaji_140718_hikawahama_nuka.0000.wav	amerikakoaji		Q28168	Least Tern	アメリカコアジサシ	Q76408/Q28168	Sternula/アメリカコアジサシ	Sternula/Least Tern	/species
23	3866	data01/amerikakoaji_140718_hikawahama_nuka.0004.wav	amerikakoaji		Q28168	Least Tern	アメリカコアジサシ	Q76408/Q28168	Sternula/アメリカコアジサシ	Sternula/Least Tern	/species
24	4764	data01/amerikakoaji_140718_hikawahama_nuka.0005.wav	amerikakoaji		Q28168	Least Tern	アメリカコアジサシ	Q76408/Q28168	Sternula/アメリカコアジサシ	Sternula/Least Tern	/species
25	19	data01/bupposo970803_tottori_kuroda.0000.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
26	852	data01/bupposo_110730_kibi_kuroda.0002.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
27	1107	data01/bupposo970803_tottori_kuroda.0002.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
28	1670	data01/bupposo_110730_kibi_kuroda.0003.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
29	1809	data01/bupposo970803_tottori_kuroda.0005.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
30	1994	data01/bupposo_110730_kibi_kuroda.0001.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
31	2330	data01/bupposo970803_tottori_kuroda.0001.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
32	2799	data01/bupposo970803_tottori_kuroda.0003.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
33	3737	data01/bupposo970803_tottori_kuroda.0006.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
34	4097	data01/bupposo970803_tottori_kuroda.0008.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
35	4098	data01/bupposo_110730_kibi_kuroda.0000.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
36	4127	data01/bupposo970803_tottori_kuroda.0007.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
37	4269	data01/bupposo970803_tottori_kuroda.0004.wav	bupposo		Q44109	Oriental Dollarbird	ブッポウソウ	'/Q19596468/Q19596314/Q19598622/Q484131/Q44245/Q992943/Q44109'			
