	audio_id	audio_file_path	book_id	title	bird_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
40	1_41	db/日本野鳥大鑑1/41 オオヒシクイ.wav	1	41 オオヒシクイ	オオヒシクイ							
61	2_01	db/日本野鳥大鑑2/01 ミサゴ.wav	2	01 ミサゴ	ミサゴ	Q25332	Osprey	ミサゴ	'/Q20645445/Q15718604/Q19595747/Q21736/Q28240/Q3893145/Q25332'			
63	2_03	db/日本野鳥大鑑2/03 トビ.wav	2	03 トビ	トビ	Q80362	Black Kite	トビ	'/Q20645445/Q15718604/Q19595747/Q21736/Q25510/Q600204/Q80362'			
71	2_11	db/日本野鳥大鑑2/11 オガサワラノスリ.wav	2	11 オガサワラノスリ	オガサワラノスリ							
72	2_12	db/日本野鳥大鑑2/12 サシバ.wav	2	12 サシバ	サシバ	Q1270171	Grey-faced Buzzard	サシバ	'/Q20645445/Q15718604/Q19595747/Q21736/Q25510/Q852334/Q1270171'			
74	2_14	db/日本野鳥大鑑2/14 イヌワシ.wav	2	14 イヌワシ	イヌワシ	Q41181	Golden Eagle	イヌワシ	'/Q20645445/Q15718604/Q19595747/Q21736/Q25510/Q754889/Q30085/Q41181'			
75	2_15	db/日本野鳥大鑑2/15 カンムリワシ.wav	2	15 カンムリワシ	カンムリワシ	Q431212	Crested Serpent Eagle	カンムリワシ	'/Q20645445/Q15718604/Q19595747/Q21736/Q25510/Q540883/Q431212'			
76	2_16	db/日本野鳥大鑑2/16 ハヤブサ.wav	2	16 ハヤブサ	ハヤブサ	Q30535	Peregrine Falcon	ハヤブサ	'/Q326483/Q25370/Q21744/Q754660/Q43489/Q30535'			
77	2_17	db/日本野鳥大鑑2/17 チゴハヤブサ.wav	2	17 チゴハヤブサ	チゴハヤブサ	Q25876	Eurasian Hobby	チゴハヤブサ	'/Q326483/Q25370/Q21744/Q754660/Q43489/Q1132015/Q25876'			
78	2_18	db/日本野鳥大鑑2/18 チョウゲンボウ.wav	2	18 チョウゲンボウ	チョウゲンボウ	Q26490	Common Kestrel	チョウゲンボウ	'/Q326483/Q25370/Q21744/Q754660/Q43489/Q26490'			
95	2_35	db/日本野鳥大鑑2/35 リュウキュウヒクイナ.wav	2	35 リュウキュウヒクイナ	リュウキュウヒクイナ							
