	audio_id	audio_file_path	book_id	title	bird_name	id	path	ja_path_name	en_path_name	path_taxon_rank_name
40	1_41	db/日本野鳥大鑑1/41 オオヒシクイ.wav	1	41 オオヒシクイ	オオヒシクイ	Q26452	Q853058/Q21651/Q16124376/Q7556/Q620938/Q82562/Q183361/Q26452	キジカモ類/カモ目/Anatoidea/カモ科/ガン亜科/ガン族/マガン属/ヒシクイ	Galloanserae/Anseriformes/Anatoidea/Anatidae/Anserinae/Anserini/Anser/Bean Goose	superorder/order/superfamily/family/subfamily/tribe/genus/species'
71	2_11	db/日本野鳥大鑑2/11 オガサワラノスリ.wav	2	11 オガサワラノスリ	オガサワラノスリ	Q1152577	Q25510/Q235152/Q1152577	タカ科/ノスリ属/ノスリ	Accipitridae/Buteo/Eastern Buzzard	family/genus/species
95	2_35	db/日本野鳥大鑑2/35 リュウキュウヒクイナ.wav	2	35 リュウキュウヒクイナ	リュウキュウヒクイナ	Q1076585	Q835525/Q1076585	Porzana/ヒクイナ	Porzana/Ruddy-breasted Crake	genus/species
154	3_20	db/日本野鳥大鑑3/20 ハジブトウミガラス.wav	3	20 ハジブトウミガラス	ハジブトウミガラス	Q728682	Q838599/Q728682	ウミガラス属/ハシブトウミガラス	Uria/Thick-billed Murre	genus/species
176	3_42	db/日本野鳥大鑑3/42 ダイトウコノハズク.wav	3	42 ダイトウコノハズク	ダイトウコノハズク	Q1267153	Q5881279/Q25222/Q26012/Q832329/Q1267153	Strigimorphae/フクロウ目/フクロウ科/コノハズク属/オオコノハズク	Strigimorphae/Strigiformes/Strigidae/Otus/Sunda Scops Owl	superorder/order/family/genus/species
178	3_44	db/日本野鳥大鑑3/44 リュウキュウオオコノハズク.wav	3	44 リュウキュウオオコノハズク	リュウキュウオオコノハズク	Q1267153	Q5881279/Q25222/Q26012/Q832329/Q1267153	Strigimorphae/フクロウ目/フクロウ科/コノハズク属/オオコノハズク	Strigimorphae/Strigiformes/Strigidae/Otus/Sunda Scops Owl	superorder/order/family/genus/species
189	3_55	db/日本野鳥大鑑3/55 リュウキュウアカショウビン.wav	3	55 リュウキュウアカショウビン	リュウキュウアカショウビン					
202	3_68	db/日本野鳥大鑑3/68 オーストンオオアカゲラ.wav	3	68 オーストンオオアカゲラ	オーストンオオアカゲラ	Q207290	Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q723059/Q207290	Q5113/新顎類/Neoaves/Dendrornithes/キツツキ目/キツツキ科/Picinae/Dendrocopos/オオアカゲラ	Neognathae/Neoaves/Dendrornithes/Piciformes/Picidae/Picinae/Dendrocopos/White-backed Woodpecker	Unknown/subclass/superorder/order/family/subfamily/genus/species
205	3_71	db/日本野鳥大鑑3/71 リュウキュウコゲラ.wav	3	71 リュウキュウコゲラ	リュウキュウコゲラ					
217	4_12	db/日本野鳥大鑑4/12 ホオジロハクセキレイ.wav	4	12 ホオジロハクセキレイ	ホオジロハクセキレイ	Q2897097	Q25399/Q2897097	タイリクハクセキレイ/ハクセキレイ	White Wagtail/Motacilla alba lugens	species/subspecies
224	4_19	db/日本野鳥大鑑4/19 アマミヒヨドリ.wav	4	19 アマミヒヨドリ	アマミヒヨドリ					
225	4_20	db/日本野鳥大鑑4/20 オガサワラヒヨドリ.wav	4	20 オガサワラヒヨドリ	オガサワラヒヨドリ					
226	4_21	db/日本野鳥大鑑4/21 ダイトウヒヨドリ.wav	4	21 ダイトウヒヨドリ	ダイトウヒヨドリ					
231	4_26	db/日本野鳥大鑑4/26 シマアカモズ.wav	4	26 シマアカモズ	シマアカモズ	Q790616	Q25341/Q171052/Q754657/Q790616	スズメ目/モズ科/モズ属/アカモズ	Passeriformes/Laniidae/Lanius/Brown Shrike	order/family/genus/species
236	4_31	db/日本野鳥大鑑4/31 モスケミソサザイ.wav	4	31 モスケミソサザイ	モスケミソサザイ	Q25740	Q25341/Q208304/Q3888717/Q25740	スズメ目/ミソサザイ科/Troglodytes/ミソサザイ	Passeriformes/Troglodytidae/Troglodytes/Eurasian Wren	order/family/genus/species
242	4_37	db/日本野鳥大鑑4/37 ホントウアカヒゲ.wav	4	37 ホントウアカヒゲ	ホントウアカヒゲ					
269	4_64	db/日本野鳥大鑑4/64 ハシナガウグイス.wav	4	64 ハシナガウグイス	ハシナガウグイス					
270	4_65	db/日本野鳥大鑑4/65 リュウキュウウグイス.wav	4	65 リュウキュウウグイス	リュウキュウウグイス					
287	5_09	db/日本野鳥大鑑5/09 コメボソムシクイ.wav	5	09 コメボソムシクイ	コメボソムシクイ	Q720497	Q194240/Q1929497/Q214627/Q720497	スズメ亜目/メボソムシクイ科/Phylloscopus/メボソムシクイ	Passeri/Phylloscopidae/Phylloscopus/Arctic Warbler	suborder/family/genus/species
