	audio_file_path	romaji_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
1	data01/kumagera_110326_tomakomai_namba.0002.wav	kumagera	Q143284	Black Woodpecker	クマゲラ	'/Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q132916/Q143284'			
2	data01/akagera_110327_moiwa_namba.0000.wav	akagera	Q26209	Great Spotted Woodpecker	アカゲラ	'/Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q723059/Q26209'			
5	data01/butogara_111021_asahikawa_mju.0005.wav	hashibutogara							
6	data01/ochu2_150524_tsushima_mju.0005.wav	ochu							
8	data01/sijuukara8_0903_hyogo_kaji.0005.wav	shijuukara							
9	data01/yabusame_0804_hyogo_kaji.0003.wav	yabusame							
12	data01/jobitakic_160808_hyogo_kuroda.0006.wav	jyoubitaki							
13	data01/jobitakic_160808_hyogo_kuroda.0012.wav	jyoubitaki							
16	data01/suzume_100525_utsunomiya.0017.wav	suzume							
19	data01/bupposo970803_tottori_kuroda.0000.wav	bupposo							
21	data01/mugimaki_120505_hyogo_kaji.0005.wav	mugimaki							
25	data01/nyuunaisuzume_110809_nikko_hirano.0004.wav	nyuunaisuzume							
26	data01/nyuunaisuzume_110809_nikko_hirano.0009.wav	nyuunaisuzume							
27	data01/chogenbo_keikai_130303_utsunomiya_hirano.0000.wav	chogenbo							
28	data01/okonoha_130505_nikko_abe.0004.wav	okonoha							
30	data01/kuroji_c_080430_utsunomiya_hirano.0000.wav	kuroji	Q1586258	Gray Bunting	クロジ	'/Q20645445/Q14635103/Q326483/Q5856078/Q25341/Q28486/Q614481/Q1586258'			
32	data01/tsubamechi_121009_hyogo_kuroda.0002.wav	tsubamechi							
33	data01/osahashibuto_120423_ishigaki_moriya.0009.wav	osahashibuto							
34	data01/ostoaka2_140307_amami_ishida.0000.wav	oosutonooakagera							
35	data01/mejiroc_160516_miyake_kuroda.0002.wav	jyoubitaki							
36	data01/mejiroc_160516_miyake_kuroda.0003.wav	jyoubitaki							
37	data01/kisekirei_160601_chichibu_mju.0000.wav	kisekirei							
38	data01/akashobin_150611_kosado_mju.0002.wav	akashobin							
39	data01/ezobitaki2_1010_hyogo_kaji.0005.wav	ezobitaki							
42	data01/omizunagi_120801_fukuoka_mju.0007.wav	omizunagi							
45	data01/akahara_100420_watarase.0005.wav	akahara							
47	data01/kakko_120629_utsunomiya_hirano.0008.wav	kakko							
51	data01/jobitaki_071107_watarase_hirano.0007.wav	jyoubitaki							
52	data01/misago_1008_aichi_kuroda.0009.wav	misago	Q25332	Osprey	ミサゴ	'/Q20645445/Q15718604/Q19595747/Q21736/Q28240/Q3893145/Q25332'			
53	data01/himeama_140614_fuji_mju.0000.wav	himeama							
54	data01/kakesu_080413_utsunomiya_hirano.0001.wav	kakesu							
60	data01/gojukarahina_140514_kyoto_kaji.0002.wav	gojyuukara							
62	data01/shijuukara_110429_utsunomiya_hirano.0004.wav	shijuukara							
63	data01/sijuukara2_0710_hyogo_kaji.0003.wav	shijuukara							
64	data01/kakesu_110429_utsunomiya_hirano.0005.wav	kakesu							
65	data01/akagera2_070516_mitake_mju.0001.wav	akagera	Q26209	Great Spotted Woodpecker	アカゲラ	'/Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q723059/Q26209'			
67	data01/ishigakishiju_120423_ishigaki_moriya.0002.wav	ishigakishiju							
71	data01/kogara_070523_nikko_mju.0000.wav	kogara							
74	data01/jobitakic_160808_hyogo_kuroda.0013.wav	jyoubitaki							
76	data01/ezosen_130603_muroran_kuros.0002.wav	ezosen							
77	data01/omashiko_121203_tottori_kuroda.0001.wav	omashiko							
78	data01/jyoubitaki_121112_utsunomiya_hirano.0000.wav	jyoubitaki							
85	data01/konotori_140602_toyooka_kuroda.0001.wav	konotori							
89	data01/kibitaki_150610_sado_mju.0010.wav	kibitaki							
90	data01/kayakuguri_0811_hyogo_kaji.0015.wav	kayakuguri	Q524343	Japanese Accentor	カヤクグリ	'/Q20645445/Q14635103/Q326483/Q5856078/Q25341/Q3709179/Q3924795/Q524343'			
92	data01/kojukei2_060512_hino_mju.0003.wav	kojyukei							
93	data01/ojurin_091116_watarase_hirano.0002.wav	ojurin							
94	data01/kurotsugumi_060604_okutadami_mju.0000.wav	kurotsugumi							
97	data01/okonoha_130505_nikko_abe.0005.wav	okonoha							
98	data01/kohakucho_151129_kaga_mju.0006.wav	kohakucyou							
99	data01/suzume_120210_nemuro_mju.0001.wav	suzume							
102	data01/rsanshoukui_060315_okinawa_kaji.0017.wav	ryuukyuusanshoukui	Q3233109	Ryukyu Minivet	リュウキュウサンショウクイ	'/Q20645445/Q14635103/Q326483/Q5856078/Q25341/Q732881/Q1082724/Q3233109'			
103	data01/shimaenaga_110228_tomamae_mju.0008.wav	shimaenaga							
104	data01/hashibuto_060429_kokubunji_mju.0000.wav	hashibutogarasu							
108	data01/akashobin_150611_kosado_mju.0000.wav	akashobin							
114	data01/akahara_10626_nikkou_hirano.0005.wav	akahara							
117	data01/sijuukara6_0803_hyogo_kaji.0012.wav	shijuukara							
119	data01/oseguro_20110201_tomamae_mju.0001.wav	oseguro							
121	data01/gojukara_110402_maruyama_namba.0004.wav	gojyuukara							
125	data01/takabu_140902_tatsuno_kuroda.0001.wav	takabu							
129	data01/hayabusa_130519_date_kuros.0001.wav	hayabusa	Q30535	Peregrine Falcon	ハヤブサ	'/Q326483/Q25370/Q21744/Q754660/Q43489/Q30535'			
134	data01/ezoraicho_080703_doto_kuroda.0008.wav	ezoraicho							
135	data01/kakesu_1103_hyogo_kaji.0009.wav	kakesu							
138	data01/yabusame_0709_hyogo_kaji.0001.wav	yabusame							
139	data01/yabusame_0709_hyogo_kaji.0008.wav	yabusame							
140	data01/yabusame_100508_yahaba_mikami.0002.wav	yabusame							
141	data01/ohakucho_100227_otawara_hirano.0006.wav	ohakucho							
142	data01/rsanshokui_120419_yambaru_moriya.0009.wav	ryuukyuusanshoukui	Q3233109	Ryukyu Minivet	リュウキュウサンショウクイ	'/Q20645445/Q14635103/Q326483/Q5856078/Q25341/Q732881/Q1082724/Q3233109'			
144	data01/yamaakagaeru_200702_hyogo_kuroda.0003.wav	yamaakagaeru							
145	data01/aoji_080422_watarase_hirano.0000.wav	aoji	Q1190674	Black-faced Bunting	アオジ	'/Q20645445/Q14635103/Q326483/Q5856078/Q25341/Q28486/Q614481/Q1190674'			
146	data01/enaga_0905_hyogo_kaji.0002.wav	enaga							
151	data01/konotori_140602_toyooka_kuroda.0004.wav	konotori							
153	data01/tobi_110308_watarase_hirano.0001.wav	tobi	Q80362	Black Kite	トビ	'/Q20645445/Q15718604/Q19595747/Q21736/Q25510/Q600204/Q80362'			
154	data01/mosukemiso_160701_miyake_kuroda.0003.wav	mosukemisosazai							
156	data01/shijukara_100223_sado_mju.0007.wav	shijuukara							
157	data01/higara_110313_utsunomiya_hirano.0004.wav	higara							
159	data01/kurotsugumi_060604_okutadami_mju.0002.wav	kurotsugumi							
162	data01/sijuukara5_0803_hyogo_kaji.0014.wav	shijuukara							
163	data01/kohakucho_151129_kaga_mju.0002.wav	kohakucyou							
164	data01/sijuukara3_0802_hyogo_kaji.0005.wav	shijuukara							
167	data01/kogera_0906_hyogo_kaji.0007.wav	kogera	Q27074882	Yungipicus kizuki	コゲラ	'/Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q21596781/Q1466322/Q27074882'			
168	data01/rurikakesu_0903_amami_ishida.0000.wav	rurikakesu							
170	data01/gabicho_040512_hino_mju.0001.wav	gabicho							
172	data01/enaga_040429_kokubunji_mju.0012.wav	enaga							
177	data01/tyuhi_100406_watarase.0007.wav	chuhi							
180	data01/jobitaki_140523_hyogo_kuroda.0000.wav	jyoubitaki							
182	data01/kisekirei_160601_chichibu_mju.0003.wav	kisekirei							
183	data01/ezosen_090819_nemuro_mju.0005.wav	ezosen							
186	data01/onaga_070411_kokubunji_mju.0005.wav	onaga							
187	data01/kurotsugumi_150423_nara_kuroda.0000.wav	kurotsugumi							
189	data01/kibitaki2_0904_hyogo_kaji.0003.wav	kibitaki							
190	data01/sijuukara1_060311_okinawa_kaji.0006.wav	shijuukara							
191	data01/sijuukara1_060311_okinawa_kaji.0012.wav	shijuukara							
195	data01/ezorisu_110402_maruyama_namba.0004.wav	ezorisu							
196	data01/akahara_100420_watarase.0002.wav	akahara							
197	data01/okonoha_110518_nikko_abe.0001.wav	okonoha							
199	data01/samebitaki_080704_doto_kuroda.0005.wav	samebitaki							
205	data01/hakkacho_120514c_himeji_kuroda.0002.wav	hakkacho							
207	data01/sijuukara4_0803_hyogo_kaji.0010.wav	shijuukara							
208	data01/kumagera_060621_hokkaidou_kaji.0000.wav	kumagera	Q143284	Black Woodpecker	クマゲラ	'/Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q132916/Q143284'			
212	data01/kaojirogabicho_20140410_watarase_hirano.0003.wav	kaojirogabityou							
220	data01/koyoshikiri_060704_watarase_hirano.0000.wav	koyoshikiri	Q1200757	Black-browed Reed Warbler	コヨシキリ	'/Q20645445/Q14635103/Q326483/Q5856078/Q25341/Q366974/Q637716/Q1200757'			
221	data01/higara_110319_sapporo_namba.0000.wav	higara							
222	data01/jobitakic_160808_hyogo_kuroda.0009.wav	jyoubitaki							
223	data01/iijimac_160515_miyake_kuroda.0003.wav	iijima							
224	data01/yamaakagaeru_200702_hyogo_kuroda.0001.wav	yamaakagaeru							
