id	en_name	ja_name	en_aliases	ja_aliases	img_urls	taxon_rank	taxon_name	parent_taxon	BirdJPBookDB__data_audio_id	BirdJPBookDB__data_birdname	BirdResearchDB_label01_32k_audio_id	BirdResearchDB_label01_32k_birdname	JP	Research
Q208335	Red Phalarope	ハイイロヒレアシシギ	{'0': 'Red Phalarope', '1': 'Grey Phalarope'}	{}	{'0': 'https://www.wikidata.org/wiki/Q208335#/media/File:Phalaropus%20fulicarius%2010.jpg', '1': 'https://www.wikidata.org/wiki/Q208335#/media/File:Grey%20Phalarope.jpg'}	Q7432	Phalaropus fulicarius	Q253776	2_72	ハイイロヒレアシシギ			1	0
Q206630	Ortolan Bunting	ズアオホオジロ	{'0': 'Emberiza hortulana', '1': 'Ortolan Bunting'}	{}	{'0': 'https://www.wikidata.org/wiki/Q206630#/media/File:Ortolan%20bunting%20in%20Sierra%20de%20Guara,%20Aragon,%20Spain.jpg'}	Q7432	Emberiza hortulana	Q614481	5_46	ズアオホオジロ			1	0
Q19595747	Accipitrimorphae		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q19595747#/media/File:Bald%20Eagle%20Portrait.jpg'}		Accipitrimorphae	Q15718604					0	0
Q205320	Buttonquail	ミフウズラ科	{'0': 'Turnicidae'}	{}	{'0': 'https://www.wikidata.org/wiki/Q205320#/media/File:Turnix%20sylvatica.jpg'}	Q35409	Turnicidae	Q25978					0	0
Q266107	Forest Wagtail	イワミセキレイ	{'0': 'Dendronanthus indicus', '1': 'Forest Wagtail'}	{}	{'0': 'https://www.wikidata.org/wiki/Q266107#/media/File:Forest%20Wagtail%204024.jpg'}	Q7432	Dendronanthus indicus	Q10754417	4_08	イワミセキレイ			1	0
Q44245	Coraciidae	ブッポウソウ科	{'0': 'Rollers'}	{'0': 'ブッポウソウ科 (Sibley)'}	{'0': 'https://www.wikidata.org/wiki/Q44245#/media/File:Coracias%20garrulus%20-%20European%20roller%2002.jpg', '1': 'https://www.wikidata.org/wiki/Q44245#/media/File:Dollarbird%20Eurystomus%20orientalis%20by%20Dr.%20Raju%20Kasambe%20DSCN4782%20(1).JPG'}	Q35409	Coraciidae	Q484131					0	0
Q200339	Mandarin Duck	オシドリ	{'0': 'Aix galericulata', '1': 'Mandarin Duck', '2': 'Pato mandarín'}	{'0': '鴛鴦'}	{'0': 'https://www.wikidata.org/wiki/Q200339#/media/File:Aix%20galericulata%20-Bei%20Hai%20Park,%20Changqiao,%20Beijing,%20China%20-pair-8.jpg', '1': 'https://www.wikidata.org/wiki/Q200339#/media/File:Jardin%20de%20Gaston24.jpg'}	Q7432	Aix galericulata	Q131450	1_48	オシドリ	data01/oshidori_131204_sano_hirano.0001.wav	オシドリ	1	1
Q18851	Little Ringed Plover	コチドリ	{'0': 'Charadrius dubius', '1': 'Little Ringed Plover'}	{'0': 'Charadrius dubius'}	{'0': 'https://www.wikidata.org/wiki/Q18851#/media/File:Charadrius%20dubius%20(49820761043).jpg', '1': 'https://www.wikidata.org/wiki/Q18851#/media/File:Charadrius%20dubius%20-%20Little%20ringed%20plover%2005.jpg', '2': 'https://www.wikidata.org/wiki/Q18851#/media/File:Charadrius%20dubius%20-%20Little%20ringed%20plover%2006.jpg'}	Q7432	Charadrius dubius	Q736322	2_43	コチドリ	data01/kochidori_140514_tasuno_kuroda.0000.wav	コチドリ	1	1
Q162029	Lagopus	ライチョウ属	{'0': 'ptarmigan'}	{}	{'0': 'https://www.wikidata.org/wiki/Q162029#/media/File:Lagopus%20muta2.jpg'}	Q34740	Lagopus	Q201240					0	0
Q54696	Eurasian Collared Dove	シラコバト	{'0': 'Streptopelia decaocto', '1': 'Collared dove'}	{'0': 'Streptopelia decaocto'}	{'0': 'https://www.wikidata.org/wiki/Q54696#/media/File:Streptopelia%20decaocto,%20Hărman,%20România%20(34881606270).jpg', '1': 'https://www.wikidata.org/wiki/Q54696#/media/File:Eurasian%20Collared%20Dove%20Streptopelia%20decaocto%20by%20Dr.%20Raju%20Kasambe%20DSCN2357%20(3).jpg'}	Q7432	Streptopelia decaocto	Q30944	3_26	シラコバト	data01/shirakobato_120913_kasukabe_moriya.0000.wav	シラコバト	1	1
Q507383	House Crow	イエガラス	{'0': 'Corvus splendens'}	{}	{'0': 'https://www.wikidata.org/wiki/Q507383#/media/File:House-Crow444.jpg'}	Q7432	Corvus splendens	Q43365	6_34	イエガラス			1	0
Q18789	Ardeidae	サギ科	{'0': 'the heron family'}	{'0': 'サギ目'}	{'0': 'https://www.wikidata.org/wiki/Q18789#/media/File:Ardea%20cinerea%20EM1A2714%20(27349354381).jpg', '1': 'https://www.wikidata.org/wiki/Q18789#/media/File:Egretta%20thula1.jpg', '2': 'https://www.wikidata.org/wiki/Q18789#/media/File:2015-10-19%20Botaurus%20stellaris,%20Gosforth%20Park%205.jpg'}	Q35409	Ardeidae	Q19338					0	0
Q174088	Hawfinch	シメ	{'0': 'Coccothraustes coccothraustes', '1': 'hawfinch'}	{'0': 'シベリアシメ'}	{'0': 'https://www.wikidata.org/wiki/Q174088#/media/File:Coccothraustes%20coccothraustes%201%20(Martin%20Mecnarowski).jpg', '1': 'https://www.wikidata.org/wiki/Q174088#/media/File:Coccothraustes%20coccothraustes%201%20(Marek%20Szczepanek).jpg'}	Q7432	Coccothraustes coccothraustes	Q868144	6_14	シメ	data01/shime_0812_hyogo_kaji.0001.wav	シメ	1	1
Q25334	European Robin	ヨーロッパコマドリ	{'0': 'Erithacus rubecula', '1': 'robin', '2': 'robin redbreast', '3': 'redbreast'}	{}	{'0': 'https://www.wikidata.org/wiki/Q25334#/media/File:Rouge%20gorge%20familier%20-%20crop%20(WB%20correction).jpg', '1': 'https://www.wikidata.org/wiki/Q25334#/media/File:Erithacus%20rubecula%20with%20cocked%20head.jpg', '2': 'https://www.wikidata.org/wiki/Q25334#/media/File:European%20robin%20(Erithacus%20rubecula)%20juvenile.jpg'}	Q7432	Erithacus rubecula	Q855800	4_39	ヨーロッパコマドリ			1	0
Q12265905	Kamchatka leaf warbler	オオムシクイ	{'0': 'Phylloscopus examinandus'}	{}	{'0': 'https://www.wikidata.org/wiki/Q12265905#/media/File:Phylloscopus%20examinandus%2078282201.jpg'}	Q7432	Phylloscopus examinandus	Q214627			data01/oomushikui_110610_sapporo_namba.0010.wav	オオムシクイ	0	1
Q739050	Botaurus		{}	{}	{'0': 'https://www.wikidata.org/wiki/Q739050#/media/File:AmericanBittern23.jpg'}	Q34740	Botaurus	Q855133					0	0
Q25382	Eurasian Bullfinch	ウソ	{'0': 'Pyrrhula pyrrhula', '1': 'Bullfinch', '2': 'Common bullfinch', '3': 'Pope', '4': 'Eurasian Bullfinch'}	{'0': '鷽', '1': 'ベニバラウソ', '2': 'アカウソ'}	{'0': 'https://www.wikidata.org/wiki/Q25382#/media/File:Bullfinch%20male.jpg', '1': 'https://www.wikidata.org/wiki/Q25382#/media/File:Pyrrhula%20pyrrhula%20female%202.jpg', '2': 'https://www.wikidata.org/wiki/Q25382#/media/File:Dompap.jpg'}	Q7432	Pyrrhula pyrrhula	Q843173	6_13	ウソ	data01/uso_130403_muroran_kros.0006.wav	ウソ	1	1
Q853412	Short-tailed Albatross	アホウドリ	"{'0': 'Phoebastria albatrus', '1': ""Steller's albatross"", '2': 'Short-tailed Albatross'}"	{'0': 'オキノタユウ', '1': '沖の太夫', '2': '信天翁'}	{'0': 'https://www.wikidata.org/wiki/Q853412#/media/File:Short%20tailed%20Albatross1.jpg'}	Q7432	Phoebastria albatrus	Q370849	1_05	アホウドリ			1	0
