id	parent_taxon
Q27638142	Q536912
Q40506530	Q1039940
Q27608560	Q1260623
Q15977273	Q550595
Q40688995	Q599334
Q1260197	Q2054278
Q2922483	Q611996
Q27626412	Q2858123
Q27614178	Q402531
Q33148390	Q15631713
Q27621269	Q1029798
Q685999	Q2725371
Q27635279	Q25383
Q27618700	Q543325
Q1190673	Q214462
Q27621998	Q1590382
Q27623771	Q1584282
Q27615354	Q635160
Q27622297	Q2225203
Q62393857	Q27907725
Q41025304	Q28869721
Q41101806	Q40656949
Q973214	Q662785
Q27611300	Q1273359
Q27603005	Q431885
Q27622429	Q1307462
Q27036751	Q908697
Q27618174	Q940854
Q27606760	Q917017
Q109578450	Q283514
Q27623585	Q25485
Q27610748	Q1273557
Q27628859	Q2225766
Q18923	Q592593
Q40654160	Q905044
Q40507074	Q26552
Q109578221	Q339517
Q41033795	Q40652041
Q27624664	Q2224514
Q40990837	Q29564928
Q107055596	Q583551
Q40995641	Q1002963
Q27638840	Q1049605
Q22112746	Q7098303
Q27610503	Q616393
Q41006374	Q944621
Q62575940	Q62575847
Q40657953	Q835525
Q1314908	Q1217129
Q41217959	Q4288490
Q27622333	Q2224697
Q33135735	Q452969
Q27613437	Q862819
Q27623408	Q2263439
Q16687528	Q20728321
Q27617747	Q840068
Q3302107	Q508859
Q40527902	Q28740002
Q27614791	Q178434
Q27633998	Q73760
Q27621211	Q1591898
Q2225611	Q641870
Q1264098	Q2725371
Q27619710	Q910846
Q40996737	Q468560
Q28107263	Q28107257
Q28514	Q76366
Q27601745	Q19058
Q40982255	Q2375560
Q3501588	Q899705
Q27621763	Q512812
Q40993525	Q368547
Q10821952	Q30944
Q591647	Q989480
Q652028	Q515968
Q27621209	Q1591898
Q27075659	Q2376830
Q27609344	Q1267629
Q27631939	Q3315631
Q1269899	Q655569
Q41005193	Q10792575
Q27626701	Q795556
Q58294813	Q12814087
Q27619283	Q28747718
Q40994469	Q990759
Q339038	Q29890216
Q27621478	Q1923240
Q21351004	Q25756
Q259706	Q1092589
Q27624722	Q27075468
Q27614238	Q1073606
Q997413	Q455997
Q41007820	Q659724
Q606626	Q43365
Q27606626	Q594687
Q87704619	Q87704655
Q1589908	Q588866
Q27629479	Q2667795
Q98182803	Q2465230
Q1387028	Q623060
Q2084586	Q1075355
Q1076000	Q754657
Q1242914	Q283514
Q25406202	Q34659430
Q27610704	Q856009
Q27638476	Q1006075
Q27618480	Q1268636
Q2224745	Q777236
Q3118420	Q771870
Q40980542	Q513741
Q27620511	Q3575048
Q41010125	Q18340387
Q27601766	Q182761
Q27634939	Q1300345
Q1306130	Q1088541
Q27637914	Q2934255
Q25416922	Q390189
Q27604575	Q59785
Q213827	Q9362738
Q27610776	Q1263556
Q27626814	Q1309449
Q27618289	Q262450
Q27074615	Q310853
Q27456	Q27412
Q574776	Q569605
Q640049	Q212942
Q859561	Q647533
Q27624626	Q766667
Q27611874	Q793835
Q3729103	Q214627
Q27620744	Q1302936
Q944905	Q829925
Q10744716	Q20755733
Q27626809	Q1309449
Q28473653	Q25114979
Q24050331	Q6051122
Q27613770	Q1123941
Q27615315	Q682379
Q41006394	Q944621
Q40653583	Q209239
Q756714	Q147880
Q22113151	Q582976
Q2062609	Q187014
Q10797218	Q200989
Q41014014	Q1195360
Q3498794	Q133577
Q27610736	Q1065107
Q7861866	Q16888298
Q27637516	Q770865
Q40643533	Q2669097
Q569096	Q788536
Q21215954	Q10834651
Q27613980	Q490209
Q27610949	Q27074761
Q647598	Q2104600
Q31874345	Q646544
Q28861842	Q28860394
Q27635118	Q782023
Q27635655	Q27075844
Q997454	Q905044
Q40539821	Q20719997
Q923010	Q2090536
Q27614345	Q1273813
Q27613995	Q3532791
Q40432944	Q40314270
Q40649458	Q82950
Q27620520	Q1317375
Q27634710	Q560326
Q28736356	Q857839
Q10260981	Q43365
Q3605955	Q19166
Q1272450	Q723059
Q27622829	Q2667717
Q2324017	Q752173
Q40450191	Q498228
Q26205	Q614481
Q27618956	Q1272199
Q25185408	Q852860
Q27612925	Q1262486
Q27609159	Q113218
Q177396	Q135951
Q27601204	Q1262817
Q109563477	Q10820003
Q27609745	Q941869
Q27618006	Q1266128
Q27635798	Q25418
Q107055495	Q10807623
Q1259546	Q15881049
Q2511716	Q578756
Q55111892	Q3032557
Q107272853	Q26012
Q1267384	Q10832176
Q1244098	Q1887740
Q1271379	Q198823
Q41117196	Q40658296
Q27638406	Q2668141
Q27606763	Q367459
Q40690947	Q2668026
Q41116125	Q40658176
Q27614125	Q978052
Q27628018	Q27075546
Q27637300	Q2229892
Q27601095	Q800212
Q41065638	Q40653532
Q27227	Q988641
Q41139395	Q1208062
Q27609010	Q127903
Q27621061	Q1957093
Q25433204	Q26375
Q1413196	Q417324
Q41007241	Q1088544
Q28913228	Q214627
Q27621225	Q2667606
Q27613562	Q22285682
Q27638636	Q2628790
Q27638261	Q3117605
Q1275871	Q766642
Q27624323	Q371927
Q27636728	Q205491
Q578352	Q14694261
Q1080978	Q561145
Q27616788	Q28813014
Q1271572	Q655569
Q3342040	Q913555
Q1590970	Q922062
Q27614192	Q1264584
Q41012675	Q1061547
Q40651407	Q772179
Q41071539	Q40654141
Q27615015	Q835926
Q27614961	Q790668
Q27622367	Q376590
Q27610890	Q1274529
Q27606554	Q457471
Q27617691	Q998408
Q2188600	Q187014
Q1586211	Q2136293
Q40987488	Q867433
Q40994377	Q4038175
Q27074618	Q2705039
Q33176341	Q27725
Q27621682	Q1087308
Q27622182	Q1590038
Q58294749	Q12814087
Q27615918	Q27075089
Q1306280	Q279614
Q27623417	Q191096
Q27602463	Q1036394
Q41091128	Q40654646
Q27609892	Q844860
Q2017168	Q2283955
Q12831150	Q904159
Q27617018	Q1269672
Q27074874	Q2175658
Q27613542	Q31898
Q3356701	Q777139
Q21347351	Q869267
Q1923027	Q214627
Q27615037	Q1274256
Q27601125	Q781886
Q27619233	Q776043
Q1268488	Q198823
Q27635166	Q1590302
Q27614120	Q1267298
Q62268055	Q55608552
Q27618492	Q1268636
Q40651464	Q193807
Q27606190	Q114429
Q62565924	Q503619
Q27614459	Q20720464
Q5713348	Q900882
Q535416	Q221209
Q41096233	Q40656433
Q378365	Q570477
Q27635913	Q27075872
Q27629035	Q2667961
Q27634496	Q1319774
Q40535999	Q3233002
Q1262062	Q132736
Q20729198	Q28507
Q310085	Q1217133
Q106446969	Q253789
Q6019613	Q212669
Q27619819	Q1300521
Q27616817	Q844032
Q28839477	Q614481
Q27610406	Q716317
Q27614811	Q976063
Q12257865	Q388003
Q2417877	Q202955
Q27609559	Q27074718
Q27631132	Q1587231
Q27633825	Q766717
Q28869885	Q1095785
Q41006523	Q230042
Q467068	Q663507
Q2927908	Q860912
Q27625244	Q25245111
Q20072249	Q20162119
Q2398201	Q662785
Q40582796	Q898019
Q40692780	Q858577
Q214300	Q27725
Q27613674	Q588267
Q121758	Q868238
Q27631266	Q551736
Q1318045	Q671699
Q27622865	Q848772
Q41012150	Q1082724
Q945088	Q191469
Q27619109	Q907892
Q20072392	Q21369135
Q1140949	Q10763400
Q2699864	Q1050525
Q302790	Q217478
Q84236158	Q21695
Q1303110	Q27757
Q27624405	Q15707875
Q27613629	Q1072218
Q27623519	Q282687
Q310848	Q27589
Q14117496	Q25565
Q40981171	Q774692
Q49150618	Q20072359
Q40468046	Q27074942
Q1302461	Q1009981
Q27634990	Q941573
Q27609472	Q1082117
Q27616810	Q589526
Q1080395	Q632986
Q28910291	Q28863400
Q27624180	Q1587657
Q106481125	Q25692
Q27617036	Q2222911
Q961985	Q15631713
Q27616073	Q1273127
Q27615201	Q27074997
Q27609852	Q1262552
Q40984753	Q198823
Q1317767	Q2047849
Q40978870	Q575045
Q62184382	Q28916312
Q27617210	Q1076020
Q40658711	Q1049495
Q27627240	Q3121304
Q862825	Q688188
Q106447584	Q41972
Q40677130	Q941987
Q27616168	Q852731
Q27628130	Q202478
Q25000223	Q746658
Q5713213	Q18579547
Q614789	Q640049
Q27610337	Q770529
Q27636574	Q1585903
Q27628487	Q1048896
Q27929174	Q310935
Q15304647	Q484131
Q109563572	Q687310
Q370297	Q913555
Q27604915	Q126167
Q3045772	Q827170
Q61995999	Q28807860
Q929962	Q257715
Q27620859	Q4355051
Q27621137	Q1038066
Q21447646	Q753221
Q27604761	Q541664
Q40989268	Q2376830
Q55111935	Q1955343
Q27609517	Q254276
Q21368830	Q734720
Q105336710	Q755119
Q27636845	Q422873
Q193593	Q1991437
Q109563364	Q1079850
Q27623607	Q973837
Q27628901	Q3178456
Q40979214	Q583659
Q27601705	Q1260944
Q25683596	Q13426919
Q587047	Q541709
Q785217	Q988634
Q107207954	Q14854111
Q21348228	Q905057
Q5065793	Q568512
Q27608397	Q305255
Q220578	Q310853
Q27606057	Q1265270
Q174976	Q454872
Q675077	Q1145127
Q538383	Q905044
