Source,Label,Target
Q1001586,Q1001586_チャバネシャコ,Q1286431
Q1004802,Q1004802_アオボウシエメラルドハチドリ,Q455997
Q1004833,Q1004833_アカカンムリハチドリ,Q632986
Q1007774,Q1007774_Galloperdix,Q9304816
Q1007906,Q1007906_ズアカカンムリウズラ,Q857531
Q101110287,Q101110287_Mwalau walterlinii,Q213536
Q101496776,Q101496776_Chauvireria bulgarica,Q49119310
Q1017426,Q1017426_ヤブシギダチョウ,Q625342
Q1028657,Q1028657_ヒメソリハシハチドリ,Q10736435
Q1028983,Q1028983_Guttera,Q171953
Q1029534,Q1029534_ガストルニス目,Q5113
Q1033762,Q1033762_Haplophaedia,Q1073958
Q1034194,Q1034194_Hartlaub's Spurfowl,Q740872
Q1034234,Q1034234_エチオピアシャコ,Q844415
Q1035118,Q1035118_ホウセキハチドリ,Q1035119
Q1035119,Q1035119_Heliodoxa,Q43624
Q1036005,Q1036005_キバシシャコ,Q844415
Q1036394,Q1036394_メスアカシャコ,Q844415
Q1037395,Q1037395_Curassow,Q725342
Q1039385,Q1039385_Lesbia,Q1073958
Q1039769,Q1039769_クロテリオハチドリ,Q541709
Q1040013,Q1040013_Penelopina,Q3374711
Q1040426,Q1040426_ミジカツノユウジョハチドリ,Q632986
Q1041419,Q1041419_ヒラハシハチドリ,Q10751291
Q1043312,Q1043312_ホオダレホウカンチョウ,Q869569
Q1043334,Q1043334_アオコブホウカンチョウ,Q869569
Q1045174,Q1045174_カマバネライチョウ,Q2281160
Q1047217,Q1047217_オーストラリアツカツクリ,Q777396
Q1050508,Q1050508_クロウチワキジ,Q773896
Q105081530,Q105081530_Heliantheini,Q18536564
Q105082007,Q105082007_Mellisugini,Q1073958
Q1051017,Q1051017_Francolinus afer,Q740872
Q1054886,Q1054886_ホンジュラスエメラルドハチドリ,Q455997
Q1058507,Q1058507_チャコシギダチョウ,Q1069587
Q1059558,Q1059558_ウチワハチドリ,Q263388
Q1059578,Q1059578_ミドリマンゴーハチドリ,Q570477
Q1061032,Q1061032_Sumatran Partridge,Q623060
Q106143504,Q106143504_Uranomitra,Q43624
Q1063957,Q1063957_チベットヤマウズラ,Q732487
Q1063989,Q1063989_アカハシツカツクリ,Q1088357
Q106447744,Q106447744_Tetrao coturnix,Q756174
Q106447749,Q106447749_Tetrao mutus,Q756174
Q1065055,Q1065055_チャバラケンバネハチドリ,Q535829
Q1065091,Q1065091_シロムネエメラルドハチドリ,Q455997
Q1065472,Q1065472_アオムネマンゴーハチドリ,Q570477
Q1066543,Q1066543_シロスジシャコ,Q844415
Q1067408,Q1067408_ミツユビシギダチョウ,Q574867
Q1069587,Q1069587_ウズラシギダチョウ属,Q578278
Q1069828,Q1069828_タカネシギダチョウ属,Q2542765
Q107086985,Q107086985_Eudromia frontalis,Q925476
Q1071081,Q1071081_ミドリハチドリ,Q221209
Q1071983,Q1071983_Penelope,Q3374711
Q107203612,Q107203612_Notogrues,Q25557
Q10730583,Q10730583_Acryllium,Q171953
Q10730907,Q10730907_Afropavo,Q974811
Q10731928,Q10731928_Alectura,Q213536
Q10733799,Q10733799_Androdon,Q43624
Q10734182,Q10734182_Anopetia,Q43624
Q10734253,Q10734253_Anthocephala,Q43624
Q10734408,Q10734408_Anurophasis,Q9304816
Q10734524,Q10734524_Aphantochroa,Q43624
Q10736435,Q10736435_Avocettula,Q43624
Q1073958,Q1073958_ハチドリ亜科,Q43624
Q10740725,Q10740725_Bonasa,Q201240
Q10743937,Q10743937_Caloperdix,Q26375
Q10748001,Q10748001_Chrysuronia,Q43624
Q10749353,Q10749353_Clytolaema,Q43624
Q10751291,Q10751291_Cyanophaia,Q43624
Q10752893,Q10752893_Dactylortyx,Q72968
Q10753151,Q10753151_Damophila,Q1073958
Q10759477,Q10759477_Eugenes,Q43624
Q10759516,Q10759516_Eulidia,Q43624
Q10759610,Q10759610_Eupetomena,Q43624
Q10762095,Q10762095_Goethalsia,Q43624
Q10764656,Q10764656_Haematortyx,Q26375
Q10766392,Q10766392_Heliactin,Q43624
Q1076873,Q1076873_ミドリユミハチドリ,Q1089119
Q10770224,Q10770224_Hylonympha,Q43624
Q10773349,Q10773349_Ithaginis,Q974811
Q107784201,Q107784201_Chambiortyx,Q15731102
Q10780385,Q10780385_Klais,Q43624
Q1078237,Q1078237_マミジロシャクケイ,Q1071983
Q10783981,Q10783981_Lafresnaya,Q43624
Q10784300,Q10784300_Lamprolaima,Q43624
Q1078565,Q1078565_ミナミカブトホウカンチョウ,Q944496
Q10785754,Q10785754_Leucochloris,Q43624
Q10786694,Q10786694_Loddigesia,Q43624
Q10789354,Q10789354_Macrocephalon,Q213536
Q10792466,Q10792466_Melanoperdix,Q26375
Q10793395,Q10793395_Microchera,Q43624
Q10793514,Q10793514_Microstilbon,Q43624
