Source,Target
Q1001586,Q1286431
Q1004802,Q455997
Q1004833,Q632986
Q1007774,Q9304816
Q1007906,Q857531
Q101110287,Q213536
Q101496776,Q49119310
Q1017426,Q625342
Q1028657,Q10736435
Q1028983,Q171953
Q1029534,Q5113
Q1033762,Q1073958
Q1034194,Q740872
Q1034234,Q844415
Q1035118,Q1035119
Q1035119,Q43624
Q1036005,Q844415
Q1036394,Q844415
Q1037395,Q725342
Q1039385,Q1073958
Q1039769,Q541709
Q1040013,Q3374711
Q1040426,Q632986
Q1041419,Q10751291
Q1043312,Q869569
Q1043334,Q869569
Q1045174,Q2281160
Q1047217,Q777396
Q1050508,Q773896
Q105081530,Q18536564
Q105082007,Q1073958
Q1051017,Q740872
Q1054886,Q455997
Q1058507,Q1069587
Q1059558,Q263388
Q1059578,Q570477
Q1061032,Q623060
Q106143504,Q43624
Q1063957,Q732487
Q1063989,Q1088357
Q106447744,Q756174
Q106447749,Q756174
Q1065055,Q535829
Q1065091,Q455997
Q1065472,Q570477
Q1066543,Q844415
Q1067408,Q574867
Q1069587,Q578278
Q1069828,Q2542765
Q107086985,Q925476
Q1071081,Q221209
Q1071983,Q3374711
Q107203612,Q25557
Q10730583,Q171953
Q10730907,Q974811
Q10731928,Q213536
Q10733799,Q43624
Q10734182,Q43624
Q10734253,Q43624
Q10734408,Q9304816
Q10734524,Q43624
Q10736435,Q43624
Q1073958,Q43624
Q10740725,Q201240
Q10743937,Q26375
Q10748001,Q43624
Q10749353,Q43624
Q10751291,Q43624
Q10752893,Q72968
Q10753151,Q1073958
Q10759477,Q43624
Q10759516,Q43624
Q10759610,Q43624
Q10762095,Q43624
Q10764656,Q26375
Q10766392,Q43624
Q1076873,Q1089119
Q10770224,Q43624
Q10773349,Q974811
Q107784201,Q15731102
Q10780385,Q43624
Q1078237,Q1071983
Q10783981,Q43624
Q10784300,Q43624
Q1078565,Q944496
Q10785754,Q43624
Q10786694,Q43624
Q10789354,Q213536
Q10792466,Q26375
Q10793395,Q43624
Q10793514,Q43624
Q10796092,Q43624
Q1079723,Q1071983
Q1079886,Q623060
Q10801727,Q1037395
Q10802315,Q1073958
Q10802953,Q26375
Q10802958,Q43624
Q10803020,Q43624
Q10803028,Q72968
Q10803251,Q43624
Q1080335,Q10780385
Q10803544,Q43624
Q10803902,Q43624
Q1080395,Q632986
Q10804328,Q43624
Q10804890,Q43624
Q10805346,Q72968
Q10808206,Q1073958
Q1080907,Q72968
Q1080915,Q578278
Q10809477,Q43624
Q10809594,Q974811
Q10811217,Q43624
Q108113041,Q108113159
Q108113159,Q26375
Q10811701,Q72968
Q10811865,Q26375
Q1081445,Q741604
Q10818969,Q43624
Q10821699,Q43624
Q10821706,Q43624
Q1082395,Q2415068
Q10823961,Q19172
Q10823969,Q43624
Q10823971,Q43624
Q10825020,Q43624
Q10826908,Q43624
Q1083213,Q1073958
Q10832159,Q43624
Q1088357,Q213536
Q1088385,Q1073958
Q1089078,Q929516
Q1089119,Q741604
Q1089307,Q3374711
Q1092111,Q10803544
Q1093509,Q388322
Q1093526,Q844415
Q1094420,Q1073958
Q109557009,Q430821
Q109557044,Q756174
Q109563060,Q455997
Q109563261,Q387610
Q109563374,Q18379868
Q109563379,Q27960090
Q109563380,Q27960090
Q109563381,Q27960090
Q109563382,Q27960090
Q109563383,Q27960090
Q109563384,Q27960090
Q109563385,Q27960090
Q109563386,Q27960090
Q109563387,Q27960090
Q109563397,Q732487
Q109563529,Q756174
Q109563530,Q756174
Q109563531,Q756174
Q109563532,Q756174
Q109563533,Q756174
Q109578149,Q869569
Q109578153,Q869569
Q109578154,Q869569
Q109578300,Q27960090
Q109578301,Q27960090
Q109578302,Q27960090
Q109578303,Q27960090
Q109578304,Q27960090
Q109578306,Q28778256
Q109578316,Q732487
Q109578317,Q732487
Q109578459,Q756174
Q109578461,Q756174
Q109578462,Q756174
Q109578463,Q756174
Q109578464,Q756174
Q109578466,Q756174
Q110257379,Q63048866
Q110257380,Q63048866
Q110257381,Q63048866
Q110257384,Q535829
Q110257393,Q455997
Q110257395,Q455997
Q110257398,Q455997
Q110257400,Q455997
Q110257401,Q455997
Q110257418,Q455997
Q110257419,Q455997
Q110257420,Q455997
Q11085824,Q19166
Q1113470,Q19166
Q11179724,Q773896
Q1127757,Q1073958
Q11296652,Q21659
Q1130092,Q535829
Q1131174,Q455997
Q1131762,Q15865426
Q1151428,Q625342
Q1151700,Q18552568
Q11704361,Q129059
Q11704363,Q129059
Q11704364,Q129059
Q11704365,Q129059
Q11704366,Q129059
Q11704367,Q129059
Q117686,Q852812
Q11777078,Q21659
Q11841018,Q455997
Q1187277,Q1035119
Q1189991,Q10759477
Q1189999,Q10770224
Q1190011,Q10823971
Q1190882,Q777396
Q1193048,Q1080907
Q1193067,Q740872
Q1193305,Q1073958
Q1193783,Q777396
Q12214032,Q840849
Q12218376,Q19170
Q12232395,Q21659
Q12236827,Q19170
Q12241512,Q19166
Q12248671,Q19163
Q122868,Q221209
Q1232156,Q9304816
Q12355980,Q5113
Q1238736,Q1073958
Q1241572,Q26375
Q1258916,Q1080907
Q1258923,Q455997
Q1259313,Q257832
Q1259321,Q535829
Q1259465,Q535829
Q1259671,Q777396
Q1259727,Q1071983
Q1259880,Q1080907
Q1259911,Q1071983
Q1260750,Q1286431
Q1260889,Q584362
Q1260902,Q455997
Q1260930,Q1080907
Q1260944,Q10811701
Q1261008,Q1035119
Q1261158,Q814693
Q1261205,Q1071983
Q1261221,Q541709
Q1261529,Q455997
Q1261602,Q358477
Q1261619,Q844415
Q1261723,Q1081445
Q1261736,Q584362
Q1261802,Q1035119
Q1261883,Q303077
Q1261919,Q740872
Q1262031,Q929516
Q1262269,Q844415
Q1262276,Q2700549
Q1262423,Q2163058
Q1262693,Q1069587
Q1262766,Q303077
Q1262817,Q1088357
Q1263004,Q844415
Q12630785,Q925476
Q12630820,Q15865426
Q1263283,Q1089119
Q1263371,Q740872
Q1263378,Q1080907
Q1263482,Q593360
Q1263634,Q256637
Q1263655,Q595643
Q1263774,Q595643
Q12638578,Q1069587
Q12638579,Q1069587
Q1264029,Q903982
Q1264058,Q535829
Q1264146,Q1080915
Q1264380,Q1035119
Q1264398,Q1071983
Q1264425,Q625342
Q1264439,Q625342
Q1264455,Q926064
Q1264540,Q256637
Q1264730,Q584362
Q1265085,Q535829
Q1265206,Q595643
Q1265238,Q625342
Q1265466,Q516945
Q1265474,Q535829
Q1265542,Q625342
Q1265587,Q388322
Q1265775,Q541709
Q1265835,Q455997
Q1265902,Q903903
Q1265911,Q1035119
Q1266045,Q844415
Q1266053,Q2700549
Q1266212,Q541709
Q1266282,Q625342
Q1266303,Q609156
Q1266344,Q1080907
Q1266435,Q625342
Q1266683,Q844415
Q1266692,Q257832
Q1266737,Q540586
Q1266744,Q257832
Q1267247,Q869569
Q1267444,Q869569
Q1267591,Q740872
Q1267803,Q929516
Q1267836,Q1071983
Q1268074,Q430821
Q1268165,Q623060
Q1268200,Q844415
Q1268396,Q1071983
Q1268473,Q1286431
Q1268508,Q541709
Q1268546,Q1069587
Q1268606,Q1035119
Q1268985,Q903982
Q1269019,Q903982
Q1269109,Q431110
Q1269318,Q595643
Q1269438,Q541709
Q1269554,Q740872
Q1269697,Q625342
Q1269742,Q595643
Q1269968,Q1089119
Q1269976,Q1089119
Q1270211,Q595643
Q1270229,Q625342
Q1270356,Q1081445
Q1270445,Q929516
Q1270453,Q777396
Q1271070,Q623060
Q1271333,Q791206
Q1271821,Q609156
Q1271890,Q516945
Q1271908,Q606590
Q1271939,Q625342
Q1272411,Q1286431
Q1272427,Q541709
Q1272481,Q430821
Q1272591,Q929516
Q1273072,Q609533
Q1273138,Q455997
Q1273179,Q257832
Q1273414,Q593360
Q1273473,Q455997
Q1273505,Q256637
Q1273659,Q535829
Q1273779,Q1286431
Q1274275,Q695754
Q1274605,Q1286431
Q1274709,Q609533
Q1275114,Q844415
Q1275146,Q740872
Q1275212,Q257832
Q1275889,Q844415
Q1285732,Q1073958
Q1286431,Q26375
Q129059,Q756174
Q13108171,Q25557
Q131477,Q18552568
Q13218593,Q26375
Q132731,Q855948
Q133956,Q20991430
Q13420329,Q974811
Q135464,Q9304816
Q136317,Q855948
Q13749836,Q9304816
Q1387028,Q623060
Q142651,Q868271
Q143941,Q10733799
Q14566629,Q5881279
Q1463540,Q26375
Q14644435,Q455997
Q14690166,Q26375
Q14920546,Q853058
Q14955525,Q625342
Q15106192,Q1073958
Q15232109,Q25557
Q15331248,Q1073958
Q15578675,Q43624
Q155878,Q728995
Q15632492,Q21216243
Q1569770,Q840849
Q15731102,Q853058
Q15865425,Q15865426
Q15865426,Q452969
Q15873882,Q43624
Q15875812,Q43624
Q15879568,Q1073958
Q15881283,Q1073958
Q16114391,Q925476
Q162029,Q201240
Q16243047,Q5113
Q16537759,Q974811
Q16548850,Q974811
Q16567148,Q43624
Q16570728,Q1073958
Q16572676,Q974811
Q16587520,Q974811
Q16610353,Q201240
Q16611446,Q1073958
Q16687464,Q19166
Q16687592,Q20728897
Q16687765,Q19168
Q16688707,Q21659
Q16688748,Q20729579
Q16724410,Q171953
Q16735964,Q19168
Q16910814,Q19163
Q17114190,Q5113
Q171953,Q21659
Q17273280,Q19163
Q1760766,Q623060
Q17747564,Q19163
Q178702,Q162029
Q179112,Q974811
Q182761,Q926064
Q18341494,Q777396
Q1837596,Q5113
Q18379868,Q43624
Q18536564,Q43624
Q18604631,Q21659
Q18609049,Q25557
Q18609856,Q25557
Q18640249,Q25557
Q1869243,Q9304816
Q18718823,Q18718824
Q18718824,Q452969
Q1872867,Q944496
Q1877676,Q9304816
Q18889854,Q2281160
Q1897577,Q687310
Q19055,Q162029
Q19056,Q2281160
Q19068,Q1463540
Q19163,Q5113
Q19166,Q5113
Q19168,Q5113
Q19170,Q19166
Q1944830,Q868271
Q19551,Q1463540
Q19567380,Q19166
Q19598162,Q19166
Q19630,Q1463540
Q19776308,Q7090423
Q19776310,Q5113
Q19789329,Q15731102
Q19896718,Q853058
Q19904315,Q21659
Q199087,Q632986
Q19944890,Q26375
Q19961788,Q853058
Q19962640,Q19961995
Q19966172,Q25557
Q19966787,Q25557
Q20020647,Q10734253
Q20072173,Q20160855
Q20072186,Q388322
Q20072359,Q21659
Q20097931,Q19163
Q201240,Q26375
Q20160863,Q5113
Q20161975,Q5113
Q2032066,Q5113
Q2033411,Q5113
Q2039333,Q623060
Q204066,Q455997
Q2048635,Q855948
Q2056866,Q9304816
Q205930,Q162029
Q2061919,Q1073958
Q20679105,Q26375
Q20717861,Q19168
Q20719997,Q844415
Q20727609,Q15731102
Q20728897,Q26375
Q20729349,Q5113
Q20729579,Q26375
Q20729774,Q25557
Q20730092,Q25557
Q20731308,Q20731309
Q20731309,Q26375
Q20731723,Q5113
Q20740,Q5113
Q20830886,Q844415
Q2087629,Q16183713
Q20991814,Q5113
Q21078820,Q213536
Q21078871,Q1241572
Q21078895,Q21292513
Q21078901,Q26375
Q21197421,Q10759477
Q21216077,Q5113
Q21218937,Q21447698
Q21220594,Q452969
Q21223267,Q21447698
Q21226867,Q1073958
Q212526,Q2415068
Q21252689,Q869569
Q21267081,Q10766392
Q21276404,Q584362
Q21291219,Q25557
Q21291594,Q19166
Q21292359,Q19166
Q21292514,Q5113
Q21306841,Q687310
Q21306845,Q687310
Q21308826,Q14690166
Q21320430,Q43794
Q21326338,Q256637
Q21334133,Q26375
