id,Label
Q1001586,Q1001586_チャバネシャコ
Q1004802,Q1004802_アオボウシエメラルドハチドリ
Q1004833,Q1004833_アカカンムリハチドリ
Q1007774,Q1007774_Galloperdix
Q1007906,Q1007906_ズアカカンムリウズラ
Q101110287,Q101110287_Mwalau walterlinii
Q101496776,Q101496776_Chauvireria bulgarica
Q1017426,Q1017426_ヤブシギダチョウ
Q1028657,Q1028657_ヒメソリハシハチドリ
Q1028983,Q1028983_Guttera
Q1029534,Q1029534_ガストルニス目
Q1033762,Q1033762_Haplophaedia
Q1034194,Q1034194_Hartlaub's Spurfowl
Q1034234,Q1034234_エチオピアシャコ
Q1035118,Q1035118_ホウセキハチドリ
Q1035119,Q1035119_Heliodoxa
Q1036005,Q1036005_キバシシャコ
Q1036394,Q1036394_メスアカシャコ
Q1037395,Q1037395_Curassow
Q1039385,Q1039385_Lesbia
Q1039769,Q1039769_クロテリオハチドリ
Q1040013,Q1040013_Penelopina
Q1040426,Q1040426_ミジカツノユウジョハチドリ
Q1041419,Q1041419_ヒラハシハチドリ
Q1043312,Q1043312_ホオダレホウカンチョウ
Q1043334,Q1043334_アオコブホウカンチョウ
Q1045174,Q1045174_カマバネライチョウ
Q1047217,Q1047217_オーストラリアツカツクリ
Q1050508,Q1050508_クロウチワキジ
Q105081530,Q105081530_Heliantheini
Q105082007,Q105082007_Mellisugini
Q1051017,Q1051017_Francolinus afer
Q1054886,Q1054886_ホンジュラスエメラルドハチドリ
Q1058507,Q1058507_チャコシギダチョウ
Q1059558,Q1059558_ウチワハチドリ
Q1059578,Q1059578_ミドリマンゴーハチドリ
Q1061032,Q1061032_Sumatran Partridge
Q106143504,Q106143504_Uranomitra
Q1063957,Q1063957_チベットヤマウズラ
Q1063989,Q1063989_アカハシツカツクリ
Q106447744,Q106447744_Tetrao coturnix
Q106447749,Q106447749_Tetrao mutus
Q1065055,Q1065055_チャバラケンバネハチドリ
Q1065091,Q1065091_シロムネエメラルドハチドリ
Q1065472,Q1065472_アオムネマンゴーハチドリ
Q1066543,Q1066543_シロスジシャコ
Q1067408,Q1067408_ミツユビシギダチョウ
Q1069587,Q1069587_ウズラシギダチョウ属
Q1069828,Q1069828_タカネシギダチョウ属
Q107086985,Q107086985_Eudromia frontalis
Q1071081,Q1071081_ミドリハチドリ
Q1071983,Q1071983_Penelope
Q107203612,Q107203612_Notogrues
Q10730583,Q10730583_Acryllium
Q10730907,Q10730907_Afropavo
Q10731928,Q10731928_Alectura
Q10733799,Q10733799_Androdon
Q10734182,Q10734182_Anopetia
Q10734253,Q10734253_Anthocephala
Q10734408,Q10734408_Anurophasis
Q10734524,Q10734524_Aphantochroa
Q10736435,Q10736435_Avocettula
Q1073958,Q1073958_ハチドリ亜科
Q10740725,Q10740725_Bonasa
Q10743937,Q10743937_Caloperdix
Q10748001,Q10748001_Chrysuronia
Q10749353,Q10749353_Clytolaema
Q10751291,Q10751291_Cyanophaia
Q10752893,Q10752893_Dactylortyx
Q10753151,Q10753151_Damophila
Q10759477,Q10759477_Eugenes
Q10759516,Q10759516_Eulidia
Q10759610,Q10759610_Eupetomena
Q10762095,Q10762095_Goethalsia
Q10764656,Q10764656_Haematortyx
Q10766392,Q10766392_Heliactin
Q1076873,Q1076873_ミドリユミハチドリ
Q10770224,Q10770224_Hylonympha
Q10773349,Q10773349_Ithaginis
Q107784201,Q107784201_Chambiortyx
Q10780385,Q10780385_Klais
Q1078237,Q1078237_マミジロシャクケイ
Q10783981,Q10783981_Lafresnaya
Q10784300,Q10784300_Lamprolaima
Q1078565,Q1078565_ミナミカブトホウカンチョウ
Q10785754,Q10785754_Leucochloris
Q10786694,Q10786694_Loddigesia
Q10789354,Q10789354_Macrocephalon
Q10792466,Q10792466_Melanoperdix
Q10793395,Q10793395_Microchera
Q10793514,Q10793514_Microstilbon
Q10796092,Q10796092_Myrmia
Q1079723,Q1079723_アンデスシャクケイ
Q1079886,Q1079886_カンボジアミヤマテッケイ
Q10801727,Q10801727_Nothocrax
Q10802315,Q10802315_Ocreatus
Q10802953,Q10802953_Ophrysia
Q10802958,Q10802958_Opisthoprora
Q10803020,Q10803020_Oreonympha
Q10803028,Q10803028_Oreortyx
Q10803251,Q10803251_Orthorhyncus
Q1080335,Q1080335_スミレガシラハチドリ
Q10803544,Q10803544_Oxypogon
Q10803902,Q10803902_Panterpe
Q1080395,Q1080395_ミドリカザリハチドリ
Q10804328,Q10804328_Patagona
Q10804890,Q10804890_Phaeochroa
Q10805346,Q10805346_Philortyx
Q10808206,Q10808206_Polyonymus
Q1080907,Q1080907_Odontophorus
Q1080915,Q1080915_アカバネシギダチョウ属
Q10809477,Q10809477_Pterophanes
Q10809594,Q10809594_Pucrasia
Q10811217,Q10811217_Ramphodon
Q108113041,Q108113041_Pavonini
Q108113159,Q108113159_Pavoninae
Q10811701,Q10811701_Rhynchortyx
Q10811865,Q10811865_Rollulus
Q1081445,Q1081445_Threnetes
Q10818969,Q10818969_Schistes
Q10821699,Q10821699_Stephanoxis
Q10821706,Q10821706_Sternoclyta
Q1082395,Q1082395_アカノドナキシャクケイ
Q10823961,Q10823961_Taoniscus
Q10823969,Q10823969_Taphrolesbia
Q10823971,Q10823971_Taphrospilus
Q10825020,Q10825020_Thaumastura
Q10826908,Q10826908_Tilmatura
Q1083213,Q1083213_Selasphorus
Q10832159,Q10832159_Urochroa
Q1088357,Q1088357_Talegalla
Q1088385,Q1088385_Woodnymph
Q1089078,Q1089078_ハシナガシギダチョウ
Q1089119,Q1089119_Phaethornis
Q1089307,Q1089307_Oreophasis
Q1092111,Q1092111_ヘルメットハチドリ
Q1093509,Q1093509_シロマダラウズラ
Q1093526,Q1093526_サザナミシャコ
Q1094420,Q1094420_Urosticte
Q109557009,Q109557009_Heliomaster spectabilis
Q109557044,Q109557044_Tetrao capensis
Q109563060,Q109563060_Amazilia xantusii
Q109563261,Q109563261_Doricha bryantae
Q109563374,Q109563374_Oreopyra cinereicauda
Q109563379,Q109563379_Ornismya amazilia
Q109563380,Q109563380_Ornismya brevirostris
Q109563381,Q109563381_Ornismya cyanocephalus
Q109563382,Q109563382_Ornismya canivetii
Q109563383,Q109563383_Ornismya lactea
Q109563384,Q109563384_Ornismya lumachella
Q109563385,Q109563385_Ornismya ricordii
Q109563386,Q109563386_Ornismya sasin
Q109563387,Q109563387_Ornismya vestita
Q109563397,Q109563397_Perdix bicalcarata
Q109563529,Q109563529_Tetrao cinereus
Q109563530,Q109563530_Tetrao cupido
Q109563531,Q109563531_Tetrao madagarensis
