audio_file_path	romaji_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name	audio_id
data01/mujisekka_160317_watarase_hirano.0004.wav	mujisekka	Q368505	Dusky Warbler	ムジセッカ	Q194240/Q1929497/Q214627/Q368505	スズメ亜目/メボソムシクイ科/Phylloscopus/ムジセッカ	Passeri/Phylloscopidae/Phylloscopus/Dusky Warbler	suborder/family/genus/species	
data01/kumagera_110326_tomakomai_namba.0002.wav	kumagera	Q143284	Black Woodpecker	クマゲラ	Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q132916/Q143284	Q5113/新顎類/Neoaves/Dendrornithes/キツツキ目/キツツキ科/Picinae/クマゲラ属/クマゲラ	Neognathae/Neoaves/Dendrornithes/Piciformes/Picidae/Picinae/Dryocopus/Black Woodpecker	Unknown/subclass/superorder/order/family/subfamily/genus/species	
data01/akagera_110327_moiwa_namba.0000.wav	akagera	Q26209	Great Spotted Woodpecker	アカゲラ	Q5113/Q19168/Q2330918/Q11965316/Q25934/Q25439/Q561145/Q723059/Q26209	Q5113/新顎類/Neoaves/Dendrornithes/キツツキ目/キツツキ科/Picinae/Dendrocopos/アカゲラ	Neognathae/Neoaves/Dendrornithes/Piciformes/Picidae/Picinae/Dendrocopos/Great Spotted Woodpecker	Unknown/subclass/superorder/order/family/subfamily/genus/species	
data01/kikuitadaki_0803_hyogo_kaji.0000.wav	kikuitadaki	Q26657	Goldcrest	キクイタダキ	Q25341/Q14254250/Q208716/Q26657	スズメ目/Regulidae/キクイタダキ属/キクイタダキ	Passeriformes/Regulidae/Regulus/Goldcrest	order/family/genus/species	
data01/uguisu_101125_watarase_hirano.0000.wav	uguisu	Q27075456	Horornis diphone	ウグイス	Q25341/Q222432/Q9293884/Q27075456	スズメ目/ウグイス科/Horornis/ウグイス	Passeriformes/Cettiidae/Horornis/Horornis diphone	order/family/genus/species	
data01/butogara_111021_asahikawa_mju.0005.wav	hashibutogara	Q207838	Marsh Tit	ハシブトガラ	Q25341/Q194240/Q764420/Q2862448/Q168473/Q1075355/Q207838	スズメ目/スズメ亜目/スズメ小目/ウグイス上科/シジュウカラ科/コガラ属/ハシブトガラ	Passeriformes/Passeri/Passerida/Sylvioidea/tit/Poecile/Marsh Tit	order/suborder/parvorder /superfamily/family/genus/species	
data01/sendaimushikui_0905_hyogo_kaji.0008.wav	sendaimushikui	Q2869566	Eastern Crowned Warbler	センダイムシクイ	Q194240/Q1929497/Q214627/Q2869566	スズメ亜目/メボソムシクイ科/Phylloscopus/センダイムシクイ	Passeri/Phylloscopidae/Phylloscopus/Eastern Crowned Warbler	suborder/family/genus/species	
data01/sijuukara8_0903_hyogo_kaji.0005.wav	shijuukara	Q177798	Japanese Tit	シジュウカラ	Q719380/Q177798	カラ類/シジュウカラ	Parus/Japanese Tit	genus/species	
data01/yabusame_0804_hyogo_kaji.0003.wav	yabusame	Q2669165	Asian Stubtail	ヤブサメ	Q920922/Q2669165	Urosphena/ヤブサメ	Urosphena/Asian Stubtail	genus/species	
data01/kumataka_130506_nikko_abe.0001.wav	kumataka	Q1262185	Moutain Hawk-Eagle	クマタカ	Q1978121/Q1262185	Nisaetus/クマタカ	Nisaetus/Moutain Hawk-Eagle	genus/species	
