audio_id	audio_file_path	book_id	title	bird_name	id	en_name	ja_name	path	ja_path_name	en_path_name	path_taxon_rank_name
1_01	db/日本野鳥大鑑1/01 アビ.wav	1	01 アビ	アビ	Q26691	Red-throated Diver	アビ	Q3758978/Q26691	アビ属/アビ	Gavia/Red-throated Diver	genus/species
1_02	db/日本野鳥大鑑1/02 カイツブリ.wav	1	02 カイツブリ	カイツブリ	Q25421	Little Grebe	カイツブリ	Q21695/Q1051101/Q25421	カイツブリ科/カイツブリ属/カイツブリ	Podicipedidae/Tachybaptus/Little Grebe	family/genus/species
1_03	db/日本野鳥大鑑1/03 アカエリカイツブリ.wav	1	03 アカエリカイツブリ	アカエリカイツブリ	Q179919	Red-necked Grebe	アカエリカイツブリ	Q21695/Q1237815/Q179919	カイツブリ科/カンムリカイツブリ属/アカエリカイツブリ	Podicipedidae/Podiceps/Red-necked Grebe	family/genus/species
1_04	db/日本野鳥大鑑1/04 カンムリカイツブリ.wav	1	04 カンムリカイツブリ	カンムリカイツブリ	Q25422	Great Crested Grebe	カンムリカイツブリ	Q21695/Q1237815/Q25422	カイツブリ科/カンムリカイツブリ属/カンムリカイツブリ	Podicipedidae/Podiceps/Great Crested Grebe	family/genus/species
1_05	db/日本野鳥大鑑1/05 アホウドリ.wav	1	05 アホウドリ	アホウドリ	Q853412	Short-tailed Albatross	アホウドリ	Q55805/Q370849/Q853412	アホウドリ科/キタアホウドリ属/アホウドリ	albatross/North Pacific albatross/Short-tailed Albatross	family/genus/species
1_06	db/日本野鳥大鑑1/06 クロアシアホウドリ.wav	1	06 クロアシアホウドリ	クロアシアホウドリ	Q600319	Black-footed Albatross	クロアシアホウドリ	Q55805/Q370849/Q600319	アホウドリ科/キタアホウドリ属/クロアシアホウドリ	albatross/North Pacific albatross/Black-footed Albatross	family/genus/species
1_07	db/日本野鳥大鑑1/07 オオミズナギドリ.wav	1	07 オオミズナギドリ	オオミズナギドリ	Q181320	Streaked Shearwater	オオミズナギドリ	Q207767/Q1049267/Q181320	ミズナギドリ科/オオミズナギドリ属/オオミズナギドリ	Procellariidae/Calonectris/Streaked Shearwater	family/genus/species
1_08	db/日本野鳥大鑑1/08 ヒメクロウミツバメ.wav	1	08 ヒメクロウミツバメ	ヒメクロウミツバメ	Q1658724	Swinhoe's Storm Petrel	ヒメクロウミツバメ	Q21685/Q193404/Q603287/Q1658724	ミズナギドリ目/ウミツバメ科/Oceanodroma/ヒメクロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Swinhoe's Storm Petrel	order/family/genus/species
1_09	db/日本野鳥大鑑1/09 コシジロウミツバメ.wav	1	09 コシジロウミツバメ	コシジロウミツバメ	Q211986	Leach’s Storm Petrel	コシジロウミツバメ	Q21685/Q193404/Q603287/Q211986	ミズナギドリ目/ウミツバメ科/Oceanodroma/コシジロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Leach’s Storm Petrel	order/family/genus/species
1_10	db/日本野鳥大鑑1/10 コシジロウミツバメ.wav	1	10 コシジロウミツバメ	コシジロウミツバメ	Q211986	Leach’s Storm Petrel	コシジロウミツバメ	Q21685/Q193404/Q603287/Q211986	ミズナギドリ目/ウミツバメ科/Oceanodroma/コシジロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Leach’s Storm Petrel	order/family/genus/species
1_11	db/日本野鳥大鑑1/11 クロコシジロウミツバメ.wav	1	11 クロコシジロウミツバメ	クロコシジロウミツバメ	Q1062575	Band-rumped Storm Petrel	クロコシジロウミツバメ	Q21685/Q193404/Q603287/Q1062575	ミズナギドリ目/ウミツバメ科/Oceanodroma/クロコシジロウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Band-rumped Storm Petrel	order/family/genus/species
1_12	db/日本野鳥大鑑1/12 オーストンウミツバメ.wav	1	12 オーストンウミツバメ	オーストンウミツバメ	Q1262413	Tristram's Storm Petrel	オーストンウミツバメ	Q21685/Q193404/Q603287/Q1262413	ミズナギドリ目/ウミツバメ科/Oceanodroma/オーストンウミツバメ	Procellariiformes/Storm petrel/Oceanodroma/Tristram's Storm Petrel	order/family/genus/species
1_13	db/日本野鳥大鑑1/13 カツオドリ.wav	1	13 カツオドリ	カツオドリ	Q320193	Brown Booby	カツオドリ	Q21728/Q208492/Q612817/Q320193	カツオドリ目/カツオドリ科/ブービー/カツオドリ	Suliformes/Sulidae/Sula/Brown Booby	order/family/genus/species
1_14	db/日本野鳥大鑑1/14 カワウ.wav	1	14 カワウ	カワウ	Q25440	Great Cormorant	カワウ	Q3901247/Q19401/Q25440	ウ科/ウ科/カワウ	Phalacrocoracidae/Phalacrocorax/Great Cormorant	family/genus/species
1_15	db/日本野鳥大鑑1/15 ウミウ.wav	1	15 ウミウ	ウミウ	Q727214	Japanese Cormorant	ウミウ	Q3901247/Q19401/Q727214	ウ科/ウ科/ウミウ	Phalacrocoracidae/Phalacrocorax/Japanese Cormorant	family/genus/species
1_16	db/日本野鳥大鑑1/16 チシマウガラス.wav	1	16 チシマウガラス	チシマウガラス	Q926664	Red-faced Cormorant	チシマウガラス	Q3901247/Q19401/Q926664	ウ科/ウ科/チシマウガラス	Phalacrocoracidae/Phalacrocorax/Red-faced Cormorant	family/genus/species
1_17	db/日本野鳥大鑑1/17 サンカノゴイ.wav	1	17 サンカノゴイ	サンカノゴイ	Q25709	Eurasian Bittern	サンカノゴイ	Q739050/Q25709	Botaurus/サンカノゴイ	Botaurus/Eurasian Bittern	genus/species
1_18	db/日本野鳥大鑑1/18 ヨシゴイ.wav	1	18 ヨシゴイ	ヨシゴイ	Q888536	Yellow Bittern	ヨシゴイ	Q19338/Q18789/Q855133/Q244078/Q888536	ペリカン目/サギ科/Botaurinae/Ixobrychus/ヨシゴイ	Pelecaniformes/Ardeidae/Botaurinae/Ixobrychus/Yellow Bittern	order/family/subfamily/genus/species
1_19	db/日本野鳥大鑑1/19 オオヨシゴイ.wav	1	19 オオヨシゴイ	オオヨシゴイ	Q888547	Von Schrenck’s Bittern	オオヨシゴイ	Q19338/Q18789/Q855133/Q244078/Q888547	ペリカン目/サギ科/Botaurinae/Ixobrychus/オオヨシゴイ	Pelecaniformes/Ardeidae/Botaurinae/Ixobrychus/Von Schrenck’s Bittern	order/family/subfamily/genus/species
1_20	db/日本野鳥大鑑1/20 リュウキュウヨシゴイ.wav	1	20 リュウキュウヨシゴイ	リュウキュウヨシゴイ	Q204111	Cinnamon Bittern	リュウキュウヨシゴイ	Q244078/Q204111	Ixobrychus/リュウキュウヨシゴイ	Ixobrychus/Cinnamon Bittern	genus/species
1_21	db/日本野鳥大鑑1/21 ミゾゴイ.wav	1	21 ミゾゴイ	ミゾゴイ	Q763116	Japanese Night Heron	ミゾゴイ	Q18789/Q1031335/Q135951/Q763116	サギ科/サギ亜科/Gorsachius/ミゾゴイ	Ardeidae/Ardeinae/Gorsachius/Japanese Night Heron	family/subfamily/genus/species
